username,Plan Status,login validation,Med Claims,Rx Claims,Payment,Medical EOB,Rx EOB,Plan Type
q4_dec_uhc177,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_uhc178,ACTIVE,PASSED,FAILED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc182,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc183,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc184,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc185,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc186,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc188,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc189,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_uhc190,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,
q4_dec_uhc191,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc192,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc194,TERMINATED,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_uhc195,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,PDP
q4_dec_uhc196,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,PDP
q4_dec_uhc200,TERMINATED,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc205,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,PDP
q4_dec_uhc206,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,PDP
q4_dec_uhc207,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,PDP
q4_dec_uhc209,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
,null,null,n/a,n/a,null,n/a,n/a,
q4_dec_uhc001,ACTIVE,PASSED,PASSED,PASSED,PASSED,PASSED,n/a,MAPD
