username,Plan Status,login validation,Med Claims,Rx Claims,Payment,Medical EOB,Rx EOB,Plan Type
q4_dec_aarp494,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_aarp495,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_aarp489,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp498,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp497,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp504,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp501,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp500,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp503,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp512,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp513,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp511,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp515,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp521,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_aarp520,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp522,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp523,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp519,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp518,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp532,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp536,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp538,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp534,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MA
q4_dec_aarp539,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp537,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp540,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp543,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,PDP
q4_dec_aarp547,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_aarp542,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp548,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp551,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp558,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp560,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp562,TERMINATED,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp556,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp554,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp561,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp568,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp564,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp565,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp573,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_aarp569,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp574,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp576,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MA
q4_dec_aarp578,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MA
q4_dec_aarp584,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MA
q4_dec_aarp579,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MA
q4_dec_aarp585,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MA
q4_dec_aarp588,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp587,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp594,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp593,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp598,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp599,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp595,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp609,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,PDP
q4_dec_aarp604,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp610,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,PDP
q4_dec_aarp608,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp618,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp621,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp627,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
